"BehaviorSpace results (NetLogo 4.1.2)"
"oriflame7.nlogo"
"max-profit1"
"05/03/2011 12:46:43:547 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","margin","manufacturing-cost","number-of-friendships","monthly-fee","random-join?","number-of-persons","[step]","network-profit","network-sale-revenue","network-fee-revenue","network-sponsor-cost","network-manufacturing-cost"
"2","0.01","0.4","300","100","false","300","18","38660","70543.44","800","4181.29","28502.4"
"3","0.01","0.4","300","100","false","300","17","15973","27013.14","300","425.98","10914.400000000001"
"4","0.01","0.4","300","100","false","300","17","14868","25245","200","377.38","10200"
"1","0.01","0.4","300","100","false","300","20","18446","32256.18","400","1177.85","13032.800000000001"
"5","0.01","0.4","300","100","false","300","18","16756","29250.54","300","975.83","11818.400000000001"
"7","0.01","0.4","300","100","false","300","17","26976","46343.88","500","1143.37","18724.8"
"8","0.01","0.4","300","100","false","300","18","19646","33647.13","400","806.65","13594.800000000001"
"6","0.01","0.4","300","100","false","300","17","10244","17037.9","100","10.32","6884"
"9","0.01","0.4","300","100","false","300","18","21367","35888.49","300","321.32","14500.400000000001"
"11","0.02","0.4","300","100","false","300","17","21975","38196.479999999996","500","1130.8799999999999","15590.400000000001"
"10","0.01","0.4","300","100","false","300","18","22133","37704.15","600","937.13","15234"
"12","0.02","0.4","300","100","false","300","19","14460","24776.36","200","403.54","10112.800000000001"
"13","0.02","0.4","300","100","false","300","19","18021","31242.399999999998","300","769.38","12752"
"14","0.02","0.4","300","100","false","300","17","16177","28485.66","300","981.72","11626.800000000001"
"16","0.02","0.4","300","100","false","300","18","20618","35912.1","500","1135.81","14658"
"15","0.02","0.4","300","100","false","300","18","33330","60597.32","600","3134.17","24733.600000000002"
"17","0.02","0.4","300","100","false","300","18","19991","34419.56","400","779.9","14048.800000000001"
"18","0.02","0.4","300","100","false","300","18","20515","35643.58","400","979.6899999999999","14548.400000000001"
"19","0.02","0.4","300","100","false","300","17","19809","34229.44","400","849.58","13971.2"
"20","0.02","0.4","300","100","false","300","22","29479","52047.799999999996","500","1825.1799999999998","21244"
"21","0.03","0.4","300","100","false","300","19","13138","22180.989999999998","300","196.23","9146.800000000001"
"23","0.03","0.4","300","100","false","300","20","18605","32681.239999999998","300","899.75","13476.800000000001"
"22","0.03","0.4","300","100","false","300","21","20753","36388.58","500","1130.26","15005.6"
"24","0.03","0.4","300","100","false","300","21","24768","44781.02","600","2146.19","18466.4"
"25","0.03","0.4","300","100","false","300","18","22867","39664.27","600","1040.81","16356.400000000001"
"26","0.03","0.4","300","100","false","300","25","16372","28299.75","300","557.5899999999999","11670"
"27","0.03","0.4","300","100","false","300","18","21775","37680.619999999995","400","767.47","15538.400000000001"
"28","0.03","0.4","300","100","false","300","18","21660","38337.31","400","1267.72","15809.2"
"29","0.03","0.4","300","100","false","300","19","25802","49154.75","500","3582.46","20270"
"30","0.03","0.4","300","100","false","300","21","18134","32487.239999999998","300","1256.57","13396.800000000001"
"31","0.04","0.4","300","100","false","300","18","24485","42073.92","400","458.55","17530.8"
"32","0.04","0.4","300","100","false","300","22","22832","40892.159999999996","500","1521.42","17038.4"
"34","0.04","0.4","300","100","false","300","19","27396","49648.32","800","2365.81","20686.800000000003"
"33","0.04","0.4","300","100","false","300","19","27211","50194.56","700","2769.29","20914.4"
"35","0.04","0.4","300","100","false","300","17","31796","55824.96","500","1268.97","23260.4"
"36","0.04","0.4","300","100","false","300","19","19054","34091.52","400","1233.18","14204.800000000001"
"37","0.04","0.4","300","100","false","300","21","32138","59902.079999999994","600","3405.1299999999997","24959.2"
"38","0.04","0.4","300","100","false","300","18","28099","52529.28","600","3143.04","21887.2"
"39","0.04","0.4","300","100","false","300","18","34610","62469.119999999995","900","2729.89","26028.800000000003"
"40","0.04","0.4","300","100","false","300","18","32206","59206.079999999994","800","3131.25","24669.2"
"41","0.05","0.4","300","100","false","300","20","28640","52733.549999999996","700","2590.16","22203.600000000002"
"42","0.05","0.4","300","100","false","300","19","37055","66681.45","800","2349.75","28076.4"
"43","0.05","0.4","300","100","false","300","21","40158","72899.2","1100","3147.1","30694.4"
"44","0.05","0.4","300","100","false","300","20","37005","69654.95","1000","4321.22","29328.4"
"45","0.05","0.4","300","100","false","300","17","46522","85493.34999999999","1200","4174.0599999999995","35997.200000000004"
"46","0.05","0.4","300","100","false","300","20","37951","72537.25","1100","5144.4800000000005","30542"
"47","0.05","0.4","300","100","false","300","18","34694","62842.5","900","2589.0000000000005","26460"
"49","0.05","0.4","300","100","false","300","20","25442","48369.25","700","3261.3900000000003","20366"
"48","0.05","0.4","300","100","false","300","19","36377","65824.55","1000","2731.98","27715.600000000002"
"50","0.05","0.4","300","100","false","300","20","47745","86138.4","1400","3524.61","36268.8"
"51","0.060000000000000005","0.4","300","100","false","300","17","36035","68237.42","900","4065.37","29037.2"
"52","0.060000000000000005","0.4","300","100","false","300","20","36223","67250.42","900","3310.3700000000003","28617.2"
"53","0.060000000000000005","0.4","300","100","false","300","20","31436","58089.18","800","2734.17","24718.800000000003"
"54","0.060000000000000005","0.4","300","100","false","300","18","45961","93430.36","1200","8912.119999999997","39757.600000000006"
"55","0.060000000000000005","0.4","300","100","false","300","27","26138","48039.64","500","1959.3999999999999","20442.4"
"56","0.060000000000000005","0.4","300","100","false","300","19","40384","72754.12","1200","2610.7100000000005","30959.2"
"58","0.060000000000000005","0.4","300","100","false","300","20","33108","62186.64","800","3416.49","26462.4"
"57","0.060000000000000005","0.4","300","100","false","300","18","62022","118595.09999999999","1800","7907.23","50466"
"59","0.060000000000000005","0.4","300","100","false","300","19","34500","62097.34","1000","2172.85","26424.4"
"60","0.060000000000000005","0.4","300","100","false","300","19","45919","84038.81999999999","1200","3558.35","35761.200000000004"
"61","0.06999999999999999","0.4","300","100","false","300","19","42969","80472.90000000001","1300","4191.44","34612"
"62","0.06999999999999999","0.4","300","100","false","300","20","53063","102148.41","1700","6850.8","43934.8"
"63","0.06999999999999999","0.4","300","100","false","300","19","43399","83530.74","1100","5304.48","35927.200000000004"
"64","0.06999999999999999","0.4","300","100","false","300","24","32992","63189.780000000006","900","3919.4400000000005","27178.4"
"65","0.06999999999999999","0.4","300","100","false","300","23","40155","76379.04000000001","1200","4572.679999999999","32851.200000000004"
"66","0.06999999999999999","0.4","300","100","false","300","19","54489","101232.36","1700","4902.22","43540.8"
"67","0.06999999999999999","0.4","300","100","false","300","21","45989","87406.05","1200","5022.840000000001","37594"
"68","0.06999999999999999","0.4","300","100","false","300","20","53863","104905.86","1400","7322.249999999999","45120.8"
"69","0.06999999999999999","0.4","300","100","false","300","19","41005","75385.8","1400","3357.2900000000004","32424"
"70","0.06999999999999999","0.4","300","100","false","300","22","37292","69592.83","900","3268.3500000000004","29932.4"
"71","0.08","0.4","300","100","false","300","20","49769","100450.2","1500","8507.41","43674"
"72","0.08","0.4","300","100","false","300","20","42408","80413.52","1300","4342.73","34962.4"
"73","0.08","0.4","300","100","false","300","19","45204","90826.08","1400","7532.259999999999","39489.600000000006"
"74","0.08","0.4","300","100","false","300","19","42373","85812.08","1200","7329.17","37309.6"
"75","0.08","0.4","300","100","false","300","27","52340","98606.52","1600","4994.1","42872.4"
"76","0.08","0.4","300","100","false","300","23","38724","77101.52","1200","6054.960000000001","33522.4"
"77","0.08","0.4","300","100","false","300","23","54875","103066.68000000001","1400","4779.8099999999995","44811.600000000006"
"78","0.08","0.4","300","100","false","300","20","41246","78706","1200","4440.150000000001","34220"
"79","0.08","0.4","300","100","false","300","22","48775","94175.8","1600","6054.979999999999","40946"
"80","0.08","0.4","300","100","false","300","27","44746","86530.6","1400","5563.040000000001","37622"
"81","0.09","0.4","300","100","false","300","21","71906","134115.80000000002","2800","6057.849999999999","58952"
"82","0.09","0.4","300","100","false","300","19","42554","86251.62000000001","1300","7084.47","37912.8"
"83","0.09","0.4","300","100","false","300","19","62909","128670.36","2300","11503.179999999997","56558.4"
"84","0.09","0.4","300","100","false","300","20","54871","107630.25","1600","7049.010000000002","47310"
"85","0.09","0.4","300","100","false","300","20","51465","98611.24","1900","5701.01","43345.600000000006"
"86","0.09","0.4","300","100","false","300","26","49739","94946.67","1600","5072.91","41734.8"
"87","0.09","0.4","300","100","false","300","33","58457","111146.49","1900","5733.5199999999995","48855.600000000006"
"88","0.09","0.4","300","100","false","300","24","63854","123778.2","1900","7416.179999999999","54408"
"89","0.09","0.4","300","100","false","300","23","62231","122386.81","2300","8659.76","53796.4"
"90","0.09","0.4","300","100","false","300","19","51868","100132.76000000001","1700","5950.55","44014.4"
"91","0.09999999999999999","0.4","300","100","false","300","21","55586","111052.8","2100","8210.23","49356.8"
"92","0.09999999999999999","0.4","300","100","false","300","21","65578","128510.1","2100","7916.77","57115.600000000006"
"93","0.09999999999999999","0.4","300","100","false","300","27","44093","88194.6","1500","6404.15","39197.6"
"94","0.09999999999999999","0.4","300","100","false","300","21","61283","117383.40000000001","2200","6130.04","52170.4"
"96","0.09999999999999999","0.4","300","100","false","300","22","53109","102771","2000","5985.76","45676"
"95","0.09999999999999999","0.4","300","100","false","300","23","52335","100975.5","1600","5362.449999999999","44878"
"97","0.09999999999999999","0.4","300","100","false","300","20","52805","103770","1600","6445.33","46120"
"98","0.09999999999999999","0.4","300","100","false","300","29","41535","83627.1","1400","6324.460000000001","37167.6"
"99","0.09999999999999999","0.4","300","100","false","300","25","45081","89475.3","1600","6227.24","39766.8"
"100","0.09999999999999999","0.4","300","100","false","300","21","57563","114193.8","2200","8077.66","50752.8"
"101","0.11","0.4","300","100","false","300","21","66713","136115.71","2500","10726.869999999999","61175.600000000006"
"102","0.11","0.4","300","100","false","300","27","71900","149604.55","2800","13266.48","67238"
"103","0.11","0.4","300","100","false","300","25","66869","131761.83000000002","2400","8074.359999999999","59218.8"
"104","0.11","0.4","300","100","false","300","21","69863","138268.62","2700","8961.939999999999","62143.200000000004"
"105","0.11","0.4","300","100","false","300","21","63248","128561.39","2200","9733.42","57780.4"
"106","0.11","0.4","300","100","false","300","22","68923","147031.56","2600","14626.859999999999","66081.6"
"107","0.11","0.4","300","100","false","300","21","73986","147058.26","2700","9678.64","66093.6"
"108","0.11","0.4","300","100","false","300","23","62997","126217.13","2400","8893.380000000001","56726.8"
"109","0.11","0.4","300","100","false","300","27","63132","125045","2300","8013.409999999999","56200"
"110","0.11","0.4","300","100","false","300","22","67307","134020.65","2600","9079.510000000002","60234"
"111","0.12","0.4","300","100","false","300","26","66906","132398.64","2800","8111.4800000000005","60181.200000000004"
"112","0.12","0.4","300","100","false","300","28","86426","175797.6","3500","12963.920000000002","79908"
"113","0.12","0.4","300","100","false","300","25","82811","170870.48","3200","13590.78","77668.40000000001"
"114","0.12","0.4","300","100","false","300","30","57697","118118","2600","9331.25","53690"
"115","0.12","0.4","300","100","false","300","27","79644","163768","3000","12684.030000000002","74440"
"116","0.12","0.4","300","100","false","300","25","71641","149517.28","2900","12814.050000000003","67962.40000000001"
"118","0.12","0.4","300","100","false","300","22","66059","130005.92","2500","7353.809999999999","59093.600000000006"
"117","0.12","0.4","300","100","false","300","21","59851","126624.08","2100","11316.4","57556.4"
"119","0.12","0.4","300","100","false","300","22","77810","155706.32","3000","10120.679999999998","70775.6"
"120","0.12","0.4","300","100","false","300","25","65097","132594.88","3000","10227.68","60270.4"
"121","0.13","0.4","300","100","false","300","24","75238","149014.47","3300","8564.18","68512.40000000001"
"122","0.13","0.4","300","100","false","300","28","78885","158761.08","3200","10082.689999999999","72993.6"
"123","0.13","0.4","300","100","false","300","22","73879","155417.67","3200","13282.179999999998","71456.40000000001"
"124","0.13","0.4","300","100","false","300","21","73576","150417.78","3200","10884.1","69157.6"
"125","0.13","0.4","300","100","false","300","23","81002","158272.13999999998","3800","8300.95","72768.8"
"126","0.13","0.4","300","100","false","300","22","80525","167849.97","3700","13852.579999999998","77172.40000000001"
"127","0.13","0.4","300","100","false","300","25","81997","165295.65","3300","10600.539999999997","75998"
"128","0.13","0.4","300","100","false","300","29","58584","116683.53","2100","6552.05","53647.600000000006"
"129","0.13","0.4","300","100","false","300","26","75317","159603.24","3200","14105.1","73380.8"
"130","0.13","0.4","300","100","false","300","23","73492","152470.11","2800","11676.500000000004","70101.2"
"131","0.14","0.4","300","100","false","300","25","70301","148382.68","3300","12366.08","69015.2"
"132","0.14","0.4","300","100","false","300","25","64165","136535.32","2800","11665.71","63504.8"
"133","0.14","0.4","300","100","false","300","25","69402","149441.34","3200","13732.12","69507.6"
"134","0.14","0.4","300","100","false","300","28","66899","137375.54","3200","9781.14","63895.600000000006"
"135","0.14","0.4","300","100","false","300","25","83071","170755.58","4100","12363.66","79421.20000000001"
"137","0.14","0.4","300","100","false","300","29","88658","187232.32","4100","15589.19","87084.8"
"136","0.14","0.4","300","100","false","300","22","84179","175082.24","3500","12969.2","81433.6"
"138","0.14","0.4","300","100","false","300","24","90861","190651.68","3800","14915.82","88675.20000000001"
"139","0.14","0.4","300","100","false","300","32","58405","121338.26","2400","8896.849999999999","56436.4"
"140","0.14","0.4","300","100","false","300","22","81179","166438.38","3900","11745.909999999998","77413.2"
"141","0.15000000000000002","0.4","300","100","false","300","23","89061","188794.35","3900","14789.149999999994","88844.40000000001"
"142","0.15000000000000002","0.4","300","100","false","300","26","78925","170745.44999999998","3600","15070.140000000003","80350.8"
"143","0.15000000000000002","0.4","300","100","false","300","22","71659","152892.9","3700","12983.869999999997","71949.6"
"144","0.15000000000000002","0.4","300","100","false","300","24","64329","139983.94999999998","3200","12980.269999999999","65874.8"
"145","0.15000000000000002","0.4","300","100","false","300","24","75254","169012.3","3800","18023.379999999997","79535.20000000001"
