"BehaviorSpace results (NetLogo 4.1.2)"
"oriflame7.nlogo"
"max-profit1"
"05/03/2011 14:19:07:568 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","margin","manufacturing-cost","number-of-friendships","monthly-fee","random-join?","number-of-persons","[step]","network-profit","network-sale-revenue","network-fee-revenue","network-sponsor-cost","network-manufacturing-cost"
"2","0.01","0.8","300","100","true","300","20","4002","18790.2","400","4.529999999999973","15184"
"1","0.01","0.8","300","100","true","300","21","805","3672.9","100","0","2968"
"3","0.01","0.8","300","100","true","300","17","4382","22486.86","300","233.30999999999995","18171.2"
"4","0.01","0.8","300","100","true","300","16","2724","13157.1","200","1.4699999999999989","10632"
"5","0.01","0.8","300","100","true","300","18","3976","19198.079999999998","300","8.759999999999991","15513.6"
"6","0.01","0.8","300","100","true","300","16","4851","23739.21","300","4.860000000000014","19183.2"
"7","0.01","0.8","300","100","true","300","16","5693","29774.25","300","321.17999999999995","24060"
"8","0.01","0.8","300","100","true","300","17","2996","14053.05","300","1.3500000000000227","11356"
"9","0.01","0.8","300","100","true","300","16","3223","16258.77","400","297","13138.400000000001"
"10","0.01","0.8","300","100","true","300","16","4175","20881.079999999998","400","232.30999999999995","16873.600000000002"
"11","0.02","0.8","300","100","true","300","23","1192","5943.7","100","0","4852"
"12","0.02","0.8","300","100","true","300","20","6777","35926.8","500","322.14999999999986","29328"
"13","0.02","0.8","300","100","true","300","22","3363","18323.06","300","302.94","14957.6"
"15","0.02","0.8","300","100","true","300","26","711","3325.14","100","0","2714.4"
"14","0.02","0.8","300","100","true","300","26","300","1088.78","100","0","888.8000000000001"
"16","0.02","0.8","300","100","true","300","17","3082","16460.079999999998","300","241.74","13436.800000000001"
"18","0.02","0.8","300","100","true","300","18","5270","27294.96","500","243.33999999999992","22281.600000000002"
"17","0.02","0.8","300","100","true","300","28","919","4460.96","100","0","3641.6000000000004"
"19","0.02","0.8","300","100","true","300","24","1260","5786.9","200","2.6699999999999875","4724"
"20","0.02","0.8","300","100","true","300","17","6645","34135.36","400","25.1400000000001","27865.600000000002"
"21","0.03","0.8","300","100","true","300","25","2337","12249.16","200","9.449999999999989","10102.400000000001"
"22","0.03","0.8","300","100","true","300","24","762","3779.12","100","0","3116.8"
"23","0.03","0.8","300","100","true","300","24","591","2801.36","100","0","2310.4"
"25","0.03","0.8","300","100","true","300","29","2127","11034.72","200","6.6299999999999955","9100.800000000001"
"24","0.03","0.8","300","100","true","300","25","486","2203.84","100","0","1817.6000000000001"
"26","0.03","0.8","300","100","true","300","27","4195","23245.079999999998","400","279.13","19171.2"
"27","0.03","0.8","300","100","true","300","25","2781","14782.8","200","10.110000000000014","12192"
"28","0.03","0.8","300","100","true","300","33","2365","12399.51","200","7.740000000000009","10226.400000000001"
"29","0.03","0.8","300","100","true","300","16","1427","7028.62","200","5.25","5796.8"
"30","0.03","0.8","300","100","true","300","28","981","5027.51","100","0","4146.400000000001"
"31","0.04","0.8","300","100","true","300","34","5406","34215.36","500","796.51","28512.800000000003"
"32","0.04","0.8","300","100","true","300","24","907","4841.28","100","0","4034.4"
"33","0.04","0.8","300","100","true","300","36","2274","12510.72","200","11.100000000000023","10425.6"
"34","0.04","0.8","300","100","true","300","28","4156","28553.28","400","1002.65","23794.4"
"35","0.04","0.8","300","100","true","300","30","6924","40479.36","500","322.7600000000002","33732.8"
"36","0.04","0.8","300","100","true","300","45","7015","39437.76","500","57.83999999999969","32864.8"
"37","0.04","0.8","300","100","true","300","28","567","2803.2","100","0","2336"
"38","0.04","0.8","300","100","true","300","16","653","3320.64","100","0","2767.2000000000003"
"39","0.04","0.8","300","100","true","300","35","2032","11067.84","200","12.180000000000007","9223.2"
"40","0.04","0.8","300","100","true","300","27","3972","22280.64","300","41.73000000000002","18567.2"
"41","0.05","0.8","300","100","true","300","50","10405","74865.7","1100","2515.5099999999998","63044.8"
"42","0.05","0.8","300","100","true","300","19","6474","40799.65","600","567.6300000000001","34357.6"
"43","0.05","0.8","300","100","true","300","35","5893","40442.45","600","1092.5","34056.8"
"44","0.05","0.8","300","100","true","300","52","11736","72332.05","1100","784.7200000000003","60911.200000000004"
"45","0.05","0.8","300","100","true","300","40","6675","39586.5","500","75.98999999999978","33336"
