number-of-friendships,"count persons with [bottleneck?]"
50,23
51,25
52,32
53,17
54,26
55,25
56,28
57,22
58,25
59,30
60,24
61,28
62,27
63,25
64,21
65,24
66,1
67,26
68,23
69,26
70,24
71,28
72,19
73,22
74,40
75,25
76,20
77,21
78,37
79,19
80,24
81,21
82,30
83,25
84,20
85,23
86,21
87,13
88,19
89,22
90,17
91,21
92,3
93,20
94,14
95,13
96,15
97,20
98,19
99,21
100,15
101,18
102,28
103,20
104,13
105,16
106,19
107,10
108,14
109,18
110,12
111,15
112,24
113,27
114,18
115,8
116,11
117,15
118,17
119,12
120,6
121,12
122,16
123,21
124,14
125,20
126,15
127,10
128,11
129,18
130,9
131,22
132,9
133,21
134,11
135,11
136,5
137,6
138,11
139,13
140,10
141,17
142,21
143,22
144,9
145,1
146,9
147,6
148,12
149,20
150,5
151,12
152,8
153,6
154,8
155,13
156,6
157,14
158,7
159,8
160,9
161,11
162,11
163,7
164,19
165,19
166,10
167,15
168,13
169,11
170,7
171,8
172,17
173,8
174,6
175,21
176,5
177,4
178,11
179,11
180,9
181,7
182,8
183,8
184,10
185,10
186,10
187,13
188,7
189,4
190,8
191,6
192,3
193,8
194,6
195,3
196,6
197,11
198,4
199,9
200,9
201,6
202,7
203,7
204,3
205,11
206,3
207,11
208,7
209,2
210,4
211,5
212,4
213,7
214,2
215,3
216,3
217,6
218,3
219,3
220,4
221,8
222,4
223,2
224,6
225,3
226,1
227,6
228,2
229,5
230,5
231,5
232,5
233,3
234,2
235,7
236,1
237,2
238,5
239,3
240,2
241,2
242,3
243,6
244,1
245,2
246,3
247,1
248,2
249,3
250,3
251,1
252,4
253,2
254,0
255,1
256,0
257,0
258,2
259,4
260,7
261,3
262,4
263,3
264,3
265,4
266,3
267,2
268,2
269,4
270,0
271,2
272,2
273,1
274,4
275,4
276,1
277,2
278,4
279,1
280,0
281,2
282,2
283,3
284,1
285,5
286,0
287,7
288,1
289,0
290,4
291,1
292,3
293,4
294,1
295,4
296,8
297,3
298,1
299,2
300,1
301,0
302,1
303,1
304,2
305,2
306,6
307,4
308,0
309,3
310,0
311,3
312,4
313,1
314,0
315,1
316,1
317,2
318,0
319,0
320,0
321,2
322,3
323,1
324,3
325,1
326,1
327,0
328,3
329,0
330,1
331,0
332,2
333,0
334,0
335,3
336,0
337,2
338,1
339,0
340,1
341,0
342,0
343,1
344,2
345,3
346,0
347,0
348,0
349,2
350,2
351,2
352,0
353,0
354,2
355,1
356,3
357,4
358,3
359,1
360,1
361,0
362,0
363,0
364,3
365,0
366,1
367,0
368,1
369,0
370,0
371,0
372,0
373,0
374,1
375,0
376,1
377,5
378,0
379,1
380,0
381,1
382,2
383,0
384,0
385,2
386,0
387,0
388,0
389,0
390,1
391,0
392,0
393,0
394,0
395,1
396,0
397,1
398,1
399,0
400,0
401,0
402,2
403,0
404,0
405,0
406,2
407,3
408,0
409,0
410,1
411,0
412,2
413,0
414,2
415,0
416,1
417,0
418,0
419,1
420,0
421,0
422,2
423,0
424,0
425,0
426,0
427,2
428,1
429,0
430,0
431,1
432,0
433,1
434,0
435,0
436,0
437,0
438,1
439,0
440,1
441,1
442,1
443,0
444,1
445,0
446,0
447,2
448,1
449,0
450,1
451,1
452,0
453,0
454,0
455,0
456,0
457,2
458,0
459,0
460,0
461,1
462,0
463,0
464,1
465,0
466,1
467,0
468,1
469,0
470,0
471,0
472,2
473,1
474,0
475,0
476,0
477,2
478,1
479,0
480,0
481,3
482,2
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,1
492,0
493,1
494,0
495,0
496,0
497,0
498,0
499,0
500,0
