margin,manufacturing-cost,number-of-friendships,monthly-fee,random-join?,number-of-persons,network-profit,network-sale-revenue,network-fee-revenue,network-sponsor-cost,network-manufacturing-cost
0.01,0.2,300,100,TRUE,300,11066,13753.08,100,8.34,2778.4
0.01,0.2,300,100,TRUE,300,21415,27501.21,300,830.14,5555.8
0.01,0.2,300,100,TRUE,300,20362,26182.53,300,831.14,5289.4
0.01,0.2,300,100,TRUE,300,17888,22553.19,200,309.06,4556.2
0.01,0.2,300,100,TRUE,300,23935,30865.23,400,1094.46,6235.4
0.01,0.2,300,100,TRUE,300,25066,32354.19,300,1052.25,6536.2
0.01,0.2,300,100,TRUE,300,13581,16907.22,100,10.26,3415.6
0.01,0.2,300,100,TRUE,300,25992,33364.98,300,932.65,6740.4
0.01,0.2,300,100,TRUE,300,17966,22234.41,300,77.07,4491.8
0.01,0.2,300,100,TRUE,300,10665,13250.16,100,8.04,2676.8
0.02,0.2,300,100,TRUE,300,18899,23985.5,200,391.06,4895
0.02,0.2,300,100,TRUE,300,17245,21819.7,300,421.96,4453
0.02,0.2,300,100,TRUE,300,17393,21875.56,300,318.27,4464.4
0.02,0.2,300,100,TRUE,300,10763,13417.18,100,16.44,2738.2
0.02,0.2,300,100,TRUE,300,31165,40430.88,400,1414.74,8251.2
0.02,0.2,300,100,TRUE,300,11640,14521.64,100,17.76,2963.6
0.02,0.2,300,100,TRUE,300,12993,16223.9,100,19.86,3311
0.02,0.2,300,100,TRUE,300,34341,44610.58,500,1665.24,9104.2
0.02,0.2,300,100,TRUE,300,14112,17686.06,200,164.24,3609.4
0.02,0.2,300,100,TRUE,300,33651,43351.28,500,1353.33,8847.2
0.03,0.2,300,100,TRUE,300,20145,25839.83,200,567.4,5327.8
0.03,0.2,300,100,TRUE,300,9245,11534.27,100,10.71,2378.2
0.03,0.2,300,100,TRUE,300,9484,11848.55,100,21.96,2443
0.03,0.2,300,100,TRUE,300,16537,20963.64,300,403.75,4322.4
0.03,0.2,300,100,TRUE,300,22523,28808.03,200,544.84,5939.8
0.03,0.2,300,100,TRUE,300,24976,32479.48,300,1106.35,6696.8
0.03,0.2,300,100,TRUE,300,35211,44933.31,400,858.1,9264.6
0.03,0.2,300,100,TRUE,300,34128,43642.24,600,1116.12,8998.4
0.03,0.2,300,100,TRUE,300,26188,33761.82,300,912.86,6961.2
0.03,0.2,300,100,TRUE,300,21699,27997.11,200,725.71,5772.6
0.04,0.2,300,100,TRUE,300,27050,34467.84,400,636.68,7180.8
0.04,0.2,300,100,TRUE,300,28750,36372.48,300,345.34,7577.6
0.04,0.2,300,100,TRUE,300,18032,22891.2,200,290.16,4769
0.04,0.2,300,100,TRUE,300,29216,37228.8,500,756.46,7756
0.04,0.2,300,100,TRUE,300,26888,35299.2,400,1457.59,7354
0.04,0.2,300,100,TRUE,300,26351,33582.72,300,535.71,6996.4
0.04,0.2,300,100,TRUE,300,14958,18596.16,300,64.27,3874.2
0.04,0.2,300,100,TRUE,300,19052,24605.76,200,627.3,5126.2
0.04,0.2,300,100,TRUE,300,15715,19946.88,200,276.65,4155.6
0.04,0.2,300,100,TRUE,300,31555,40584.96,400,974.27,8455.2
0.05,0.2,300,100,TRUE,300,30340,39843.95,500,1615.39,8388.2
0.05,0.2,300,100,TRUE,300,65397,87345.85,1100,4660.64,18388.6
0.05,0.2,300,100,TRUE,300,54296,72190.5,1000,3696.35,15198
0.05,0.2,300,100,TRUE,300,29738,38331.55,400,924.15,8069.8
0.05,0.2,300,100,TRUE,300,25728,33300.35,400,961.91,7010.6
0.05,0.2,300,100,TRUE,300,48396,63049.6,700,2080.37,13273.6
