fee 	 margin 	 profit05 	 sale-rev 	 fee-rev 	 spons-cost 	 members
0	0.05	37960.18	85434.65	0.0	2508.92	15.93
0	0.06	46506.45	106684.97	0.0	3431.25	20.71
0	0.07	53348.61	125333.3	0.0	4601.2	27.24
0	0.08	58676.46	140716.19	0.0	5563.54	31.43
0	0.09	62295.86	152961.5	0.0	6620.91	34.6
0	0.1	65617.77	164469.41	0.0	7479.78	40.08
0	0.11	68701.39	175257.64	0.0	8096.89	43.51
0	0.12	69961.44	181870.88	0.0	8573.75	47.02
0	0.13	70861.64	188200.64	0.0	9177.71	51.02
0	0.14	71340.58	193710.83	0.0	9747.63	54.26
0	0.15	71164.3	196987.43	0.0	9948.21	58.32
0	0.16	70975.03	200533.28	0.0	10193.23	60.85
0	0.17	69585.91	203759.59	0.0	11427.0	64.71
0	0.18	68178.94	205117.49	0.0	11866.91	66.93
0	0.19	67436.41	207015.87	0.0	11791.9	72.44
0	0.2	65248.49	206785.04	0.0	12295.96	73.79
0	0.21	63922.18	207762.33	0.0	12345.01	76.83
0	0.22	62428.93	208082.09	0.0	12267.19	78.99
0	0.23	59455.71	207723.97	0.0	13382.58	82.13
0	0.24	57689.11	207875.92	0.0	13426.32	84.28
0	0.25	54939.53	206559.19	0.0	13913.56	86.91
0	0.26	53166.76	206956.14	0.0	13954.13	89.92
0	0.27	50443.84	204604.41	0.0	14020.58	91.68
0	0.28	47100.31	201435.18	0.0	14449.36	96.18
0	0.29	45080.95	201277.01	0.0	14451.74	98.67
0	0.3	42956.72	200163.56	0.0	14232.89	99.87
0	0.31	39686.29	197553.92	0.0	14712.6	103.31
0	0.32	37206.83	195107.59	0.0	14439.34	103.89
0	0.33	34506.35	194535.75	0.0	14853.49	107.28
0	0.34	31697.99	192040.43	0.0	14857.31	110.0
0	0.35	29066.55	189345.21	0.0	14628.49	112.21
0	0.36	25505.9	186954.36	0.0	15390.37	113.76
0	0.37	22285.88	184260.0	0.0	15736.06	116.24
0	0.38	20294.35	182056.91	0.0	14942.48	117.49
0	0.39	17076.13	178907.61	0.0	15185.93	119.85
0	0.4	14009.53	175708.0	0.0	15275.11	121.98
0	0.41	11058.71	174281.24	0.0	15526.55	124.22
0	0.42	8329.57	171503.96	0.0	15326.18	126.48
0	0.43	5783.19	169604.91	0.0	15045.53	128.35
0	0.44	2279.76	165620.37	0.0	15465.25	130.18
0	0.45	-314.0	163103.62	0.0	15141.61	131.79
0	0.46	-3665.52	161652.93	0.0	15639.81	133.38
0	0.47	-6425.86	157828.06	0.0	15359.52	133.1
0	0.48	-10019.89	154861.87	0.0	15976.11	134.59
0	0.49	-12489.65	152603.46	0.0	15481.89	136.93
0	0.5	-15180.69	148201.47	0.0	15180.69	141.43
0	0.51	-18434.46	146561.59	0.0	15443.38	144.9
0	0.52	-22008.07	143885.43	0.0	16012.83	147.11
0	0.53	-24750.95	141296.72	0.0	15732.01	149.76
0	0.54	-27625.96	138153.22	0.0	15612.61	150.23
0	0.55	-30782.39	135495.89	0.0	15727.3	152.42
0	0.56	-33157.1	131436.45	0.0	15233.94	153.97
0	0.57	-37019.14	128761.65	0.0	16057.92	153.77
0	0.58	-39133.14	126225.18	0.0	15090.24	155.44
0	0.59	-42083.04	123401.53	0.0	14994.9	158.9
0	0.6	-45460.4	120680.04	0.0	15290.38	158.98
0	0.61	-48979.47	117739.21	0.0	15770.95	160.71
0	0.62	-51368.76	114568.92	0.0	15189.12	162.46
0	0.63	-53993.41	111205.69	0.0	14921.13	164.47
0	0.64	-57257.38	108737.73	0.0	14970.5	163.28
0	0.65	-60205.21	105470.21	0.0	15003.71	165.74
0	0.66	-63981.11	103324.33	0.0	15357.88	168.55
0	0.67	-66609.34	99919.05	0.0	15135.87	169.68
0	0.68	-69454.22	96993.31	0.0	14895.48	170.83
