margin,manufacturing-cost,number-of-friendships,monthly-fee,random-join?,number-of-persons,network-profit,network-sale-revenue,network-fee-revenue,network-sponsor-cost,network-manufacturing-cost
0.01,0.8,300,100,TRUE,300,5443,29216.88,300,464.55,23609.6
0.01,0.8,300,100,TRUE,300,4363,22976.91,200,246.43,18567.2
0.01,0.8,300,100,TRUE,300,4349,25193.52,300,785.76,20358.4
0.01,0.8,300,100,TRUE,300,2364,11815.65,100,3.57,9548
0.01,0.8,300,100,TRUE,300,6222,35541,400,999.26,28720
0.01,0.8,300,100,TRUE,300,5525,30907.8,400,806.38,24976
0.01,0.8,300,100,TRUE,300,3061,15475.68,100,9.36,12505.6
0.01,0.8,300,100,TRUE,300,6837,41282.01,400,1485.8,33359.2
0.01,0.8,300,100,TRUE,300,3066,15504.39,100,9.42,12528.8
0.01,0.8,300,100,TRUE,300,5803,33390.72,300,904.83,26982.4
0.02,0.8,300,100,TRUE,300,4219,25920.02,300,842.1,21159.2
0.02,0.8,300,100,TRUE,300,3986,21827.54,200,223.38,17818.4
0.02,0.8,300,100,TRUE,300,2895,15321.32,100,18.78,12507.2
0.02,0.8,300,100,TRUE,300,8975,53358.06,800,1625.56,43557.6
0.02,0.8,300,100,TRUE,300,5540,35908.18,500,1555.39,29312.8
0.02,0.8,300,100,TRUE,300,2309,12105.94,100,14.82,9882.4
0.02,0.8,300,100,TRUE,300,5470,34862.52,500,1432.83,28459.2
0.02,0.8,300,100,TRUE,300,6909,36410.92,400,178.82,29723.2
0.02,0.8,300,100,TRUE,300,5892,39422.46,500,1848.78,32181.6
0.02,0.8,300,100,TRUE,300,2922,15467.34,100,18.96,12626.4
0.03,0.8,300,100,TRUE,300,3186,18187.5,200,201.88,15000
0.03,0.8,300,100,TRUE,300,2948,16578.27,200,157.59,13672.8
0.03,0.8,300,100,TRUE,300,8729,61107.09,600,2580.17,50397.6
0.03,0.8,300,100,TRUE,300,4986,32408.67,300,993.67,26728.8
0.03,0.8,300,100,TRUE,300,3703,21307.99,200,231.75,17573.6
0.03,0.8,300,100,TRUE,300,5824,35666.9,400,826.51,29416
0.03,0.8,300,100,TRUE,300,2149,11814.6,100,21.9,9744
0.03,0.8,300,100,TRUE,300,5367,33655.12,300,831.27,27756.8
0.03,0.8,300,100,TRUE,300,4637,27110.53,400,514.26,22359.2
0.04,0.8,300,100,TRUE,300,3554,24122.88,300,766.03,20102.4
