number-of-friendships,"count persons with [netmember?]"
50,57
52,62
54,51
56,61
58,66
60,61
62,65
64,56
66,64
68,60
70,56
72,60
74,65
76,60
78,60
80,59
82,63
84,67
86,69
88,62
90,68
92,70
94,71
96,72
98,72
100,67
102,70
104,67
106,65
108,67
110,67
112,66
114,66
116,65
118,69
120,66
122,66
124,70
126,62
128,69
130,64
132,65
134,72
136,73
138,74
140,77
142,66
144,74
146,68
148,69
150,71
152,71
154,76
156,75
158,72
160,67
162,77
164,72
166,76
168,70
170,77
172,71
174,75
176,73
178,68
180,75
182,70
184,72
186,70
188,68
190,74
192,71
194,72
196,83
198,75
200,70
202,72
204,68
206,72
208,77
210,76
212,71
214,74
216,80
218,82
220,71
222,74
224,77
226,77
228,77
230,76
232,77
234,73
236,78
238,78
240,74
242,76
244,73
246,71
248,81
250,72
252,80
254,63
256,75
258,74
260,79
262,80
264,76
266,80
268,72
270,80
272,67
274,72
276,80
278,76
280,83
282,80
284,82
286,80
288,77
290,82
292,78
294,85
296,81
298,76
300,75
302,79
304,83
306,85
308,76
310,80
312,77
314,83
316,88
318,85
320,83
322,85
324,82
326,83
328,87
330,77
332,89
334,85
336,86
338,82
340,86
342,82
344,82
346,83
348,89
350,83
352,88
354,83
356,82
358,82
360,79
362,85
364,84
366,92
368,79
370,90
372,90
374,78
376,83
378,85
380,92
382,85
384,80
386,78
388,88
390,85
392,93
394,87
396,88
398,88
400,87
402,87
404,83
406,93
408,82
410,85
412,83
414,85
416,85
418,83
420,87
422,82
424,82
426,86
428,84
430,94
432,84
434,88
436,88
438,87
440,90
442,85
444,87
446,84
448,90
450,89
452,90
454,84
456,88
458,90
460,87
462,93
464,85
466,90
468,91
470,88
472,81
474,84
476,87
478,93
480,95
482,89
484,90
486,90
488,91
490,91
492,92
494,89
496,96
498,94
500,93
