"BehaviorSpace results (NetLogo 4.1)"
"oriflame5.nlogo"
"spread1"
"04/28/2011 19:44:19:184 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20","21","21","22","22","23","23","24","24","25","25","26","26","27","27","28","28","29","29","30","30","31","31","32","32","33","33","34","34","35","35","36","36","37","37","38","38","39","39","40","40","41","41","42","42","43","43","44","44","45","45","46","46","47","47","48","48","49","49","50","50","51","51","52","52","53","53","54","54","55","55","56","56","57","57","58","58","59","59","60","60","61","61","62","62","63","63","64","64","65","65","66","66","67","67","68","68","69","69","70","70","71","71","72","72","73","73","74","74","75","75","76","76","77","77","78","78","79","79","80","80","81","81","82","82","83","83","84","84","85","85","86","86","87","87","88","88","89","89","90","90","91","91","92","92","93","93","94","94","95","95","96","96","97","97","98","98","99","99","100","100"
"random-join?","false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",
"number-of-friendships","300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",
"number-of-persons","300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",
"margin","0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",,"0.3",
"monthly-fee","100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",
"[reporter]","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue","count persons with [netmember?]","current-revenue"
"[final]","84","48744.5","75","45929.8","83","48572.999999999985","85","47749.100000000006","87","53649.40000000001","83","48362.30000000001","83","52947.99999999999","84","51384.200000000004","78","49764.4","80","47199.60000000002","76","47282.89999999999","79","52212.299999999996","80","55298.6","84","54669.99999999998","78","46200","75","52240.29999999998","83","53136.3","83","54770.80000000001","89","49002.10000000001","84","49956.2","82","48078.799999999996","81","51800.700000000004","73","48617.799999999996","77","49219.09999999999","81","52485.999999999985","79","47588.1","74","43278.2","86","51952.60000000001","88","53544.39999999999","79","49786.8","88","56179.900000000016","83","47087.6","76","47851.99999999998","82","46101.299999999996","82","47047.70000000002","81","51475.89999999998","87","51183.29999999998","85","52421.6","78","44428.29999999999","81","51202.2","83","48458.90000000001","73","48117.99999999998","78","52898.99999999999","81","47889.8","81","50595.299999999996","82","51973.599999999984","87","54588.8","77","45595.2","87","49374.50000000001","87","57790.6","76","43893.50000000001","80","50908.200000000004","83","52558.1","76","47946.5","81","44963.1","83","54317.89999999998","85","51296.7","83","53248.3","83","47685.400000000016","83","58314.90000000001","73","47414.5","78","46556.30000000001","89","54750.49999999999","78","48785.80000000001","82","49558.60000000001","81","47834.50000000001","80","51765.699999999975","86","51463.29999999998","77","46211.2","82","50991.50000000001","78","49448.70000000002","79","48112.399999999994","79","49172.2","80","52259.90000000001","76","45686.200000000004","89","57215.199999999975","82","51923.2","83","50919.399999999994","81","46832.8","84","51262.400000000016","80","51263.8","83","53808.3","85","51863","77","49217.69999999998","82","47970.30000000001","80","48426.7","84","46504.49999999999","84","49835.09999999998","74","46834.90000000001","86","55423.20000000002","82","50932.7","83","47541.200000000004","80","46398.1","77","48824.999999999985","78","50133.999999999985","89","50966.299999999996","84","55050.09999999999","84","55377.00000000001","84","53008.900000000016","78","44812.60000000001"
"[min]","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1"
"[max]","213","145601.39999999997","220","150427.89999999994","224","150889.90000000008","221","142043.29999999993","220","147079.10000000006","213","147029.4","223","157789.0999999999","224","158705.39999999994","218","154869.40000000002","210","141698.19999999992","207","143471.99999999994","220","154945.7","222","157559.49999999994","222","150336.90000000008","215","146436.50000000003","215","153493.2","215","152769.40000000005","230","165655.00000000006","213","144899.3","210","145751.2","216","147381.50000000006","213","157217.89999999994","220","147933.1","215","151160.10000000012","217","152615.39999999988","223","156783.90000000002","227","156464","216","148511.30000000002","208","146985.30000000002","218","153027.00000000006","219","157516.09999999995","221","149242.1","221","150476.19999999995","222","155981.69999999995","211","143601.4999999999","208","144270.7","217","154732.9","224","155641.49999999988","215","138367.6","217","153381.19999999995","207","143369.1","215","155507.10000000006","223","159605.59999999992","216","152604.20000000004","220","158706.80000000002","220","148327.2","231","159251.40000000002","207","143270.4000000001","218","146573","215","152807.19999999995","222","153492.49999999997","215","158071.90000000008","219","150828.29999999993","209","147436.80000000005","219","148033.8999999999","226","162008.6999999999","219","154316.4","218","164373.9999999999","217","147316.3999999999","215","150887.10000000003","219","154182.69999999995","209","146120.0999999999","220","154478.10000000003","220","148678.5999999999","233","155717.09999999998","213","149234.39999999985","217","156264.49999999994","217","143303.3","213","142829.40000000005","219","150462.20000000004","219","149219.69999999992","219","154146.9999999999","212","151568.90000000008","212","150951.5","206","145740.69999999998","225","160652.1000000001","222","160358.79999999996","196","144582.20000000007","218","143716.30000000005","222","151874.10000000006","210","152510.40000000008","216","163192.4000000001","218","148834.69999999998","216","150623.90000000002","219","154746.9","226","152343.8","220","144612.29999999996","221","152018.3000000001","211","147746.19999999995","207","144505.90000000002","211","145156.90000000002","222","153658.39999999997","215","142312.8000000001","209","142767.80000000005","218","150747.09999999998","225","152625.90000000002","217","155650.6","220","156760.1","218","153796.99999999988","218","151544.4"
